"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 11:27:09:951 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"102","15","3","500","10","2.15","3","3","2.1","2","301","3","7611","58","22771","0","19","783"
"100","15","3","500","10","2.15","3","3","2.1","2","301","638","7536","1174","22295","29","111","2196"
"103","15","3","500","10","2.15","3","3","2.1","2","301","479","7295","1085","21337","33","169","1776"
"107","15","3","500","10","2.15","3","3","2.1","2","301","0","6875","2","20072","0","1","783"
"105","15","3","500","10","2.15","3","3","2.1","2","301","137","7438","263","21029","2","31","1418"
"108","15","3","500","10","2.15","3","3","2.1","2","301","0","7114","0","21200","0","1","783"
"101","15","3","500","10","2.15","3","3","2.1","2","301","1932","6455","3959","18399","112","504","4624"
"104","15","3","500","10","2.15","3","3","2.1","2","301","1900","7257","3692","20427","79","413","4132"
"106","15","3","500","10","2.15","3","3","2.1","2","301","776","7577","1589","21430","38","194","2997"
"109","15","3","500","10","2.15","3","3","2.1","2","301","423","7471","791","21503","12","93","1988"
"112","15","3","500","10","2.15","3","3","2.1","2","301","0","6970","37","20807","0","13","783"
"115","15","3","500","10","2.15","3","3","2.1","2","301","339","6471","559","16915","24","64","1594"
"110","15","3","500","10","2.15","3","3","2.1","2","301","443","7456","987","22253","20","116","2376"
"111","15","3","500","10","2.15","3","3","2.1","2","301","602","7090","1176","21752","22","150","2543"
"116","15","3","500","10","2.15","3","3","2.1","2","301","457","6567","808","18119","18","87","1866"
"121","15","3","500","10","2.35","3","1","1.9","2","301","590","645","1087","3469","27","128","2131"
"113","15","3","500","10","2.15","3","3","2.1","2","301","679","6929","1210","21469","24","142","2560"
"119","15","3","500","10","2.15","3","3","2.1","2","301","40","6691","104","18843","2","15","783"
"122","15","3","500","10","2.35","3","1","1.9","2","301","1717","440","2886","2880","52","269","4024"
"118","15","3","500","10","2.15","3","3","2.1","2","301","209","7349","380","20193","6","30","1693"
"123","15","3","500","10","2.35","3","1","1.9","2","301","188","448","313","2894","5","32","1220"
"126","15","3","500","10","2.35","3","1","1.9","2","301","414","490","687","2698","20","80","783"
"114","15","3","500","10","2.15","3","3","2.1","2","301","1170","7887","2424","20342","67","305","3730"
"127","15","3","500","10","2.35","3","1","1.9","2","301","607","364","1006","2338","24","106","2096"
"125","15","3","500","10","2.35","3","1","1.9","2","301","1093","485","1971","3122","42","242","3276"
"124","15","3","500","10","2.35","3","1","1.9","2","301","1857","360","3199","2543","84","348","3802"
"128","15","3","500","10","2.35","3","1","1.9","2","301","45","443","83","2877","1","12","937"
"120","15","3","500","10","2.15","3","3","2.1","2","301","3","7025","31","19585","0","13","798"
"132","15","3","500","10","2.35","3","1","1.9","2","301","0","308","41","2082","0","14","783"
"117","15","3","500","10","2.15","3","3","2.1","2","301","972","7723","2013","21506","39","274","2946"
"131","15","3","500","10","2.35","3","1","1.9","2","301","124","464","252","2809","7","35","783"
"129","15","3","500","10","2.35","3","1","1.9","2","301","1461","360","2306","2433","57","211","3443"
"134","15","3","500","10","2.35","3","1","1.9","2","301","163","428","325","2673","5","44","1172"
"130","15","3","500","10","2.35","3","1","1.9","2","301","2405","456","3934","2662","104","390","4091"
"135","15","3","500","10","2.35","3","1","1.9","2","301","1407","508","2245","2974","53","225","2871"
"133","15","3","500","10","2.35","3","1","1.9","2","301","2761","314","4621","2076","110","454","5010"
"137","15","3","500","10","2.35","3","1","1.9","2","301","700","508","1163","3036","25","109","2170"
"139","15","3","500","10","2.35","3","1","1.9","2","301","731","533","1223","2806","25","122","2337"
"138","15","3","500","10","2.35","3","1","1.9","2","301","1503","400","2332","2378","45","224","3240"
"141","15","3","500","10","2.35","3","1","1.9","2","301","1497","372","2347","2353","54","224","3666"
"136","15","3","500","10","2.35","3","1","1.9","2","301","2555","480","4088","3028","83","366","5013"
"140","15","3","500","10","2.35","3","1","1.9","2","301","1797","304","2883","2328","44","234","3954"
"142","15","3","500","10","2.35","3","1","1.9","2","301","1326","383","2301","2645","52","251","3077"
"144","15","3","500","10","2.35","3","1","1.9","2","301","254","438","441","2490","4","57","1459"
"143","15","3","500","10","2.35","3","1","1.9","2","301","1300","457","2054","2607","47","193","3468"
"145","15","3","500","10","2.35","3","1","1.9","2","301","0","447","0","2613","0","2","783"
"146","15","3","500","10","2.35","3","1","1.9","2","301","31","526","86","3343","2","17","805"
"148","15","3","500","10","2.35","3","1","1.9","2","301","258","308","403","2237","8","37","1463"
"149","15","3","500","10","2.35","3","1","1.9","2","301","557","356","1056","2448","29","137","1452"
"147","15","3","500","10","2.35","3","1","1.9","2","301","1620","412","2602","2711","61","267","4000"
"150","15","3","500","10","2.35","3","1","1.9","2","301","1368","400","2160","2548","46","201","3141"
"156","15","3","500","10","2.35","3","1","2.1","2","301","325","13207","707","40071","19","86","1711"
"155","15","3","500","10","2.35","3","1","2.1","2","301","31","11239","209","48514","2","35","783"
"151","15","3","500","10","2.35","3","1","2.1","2","301","509","12625","1199","42740","22","148","2314"
"160","15","3","500","10","2.35","3","1","2.1","2","301","4","11382","47","48404","2","14","783"
"153","15","3","500","10","2.35","3","1","2.1","2","301","270","12298","590","46428","17","86","1666"
"158","15","3","500","10","2.35","3","1","2.1","2","301","182","12100","412","49387","14","55","1593"
"152","15","3","500","10","2.35","3","1","2.1","2","301","580","11789","1363","45341","30","185","2648"
"157","15","3","500","10","2.35","3","1","2.1","2","301","938","13581","2009","43703","51","265","3269"
"154","15","3","500","10","2.35","3","1","2.1","2","301","868","12933","1775","47919","36","256","3502"
"162","15","3","500","10","2.35","3","1","2.1","2","301","96","11820","383","40767","7","78","783"
"159","15","3","500","10","2.35","3","1","2.1","2","301","1419","12346","3770","46049","73","537","4533"
"161","15","3","500","10","2.35","3","1","2.1","2","301","150","11880","453","45410","12","90","1437"
"164","15","3","500","10","2.35","3","1","2.1","2","301","13","11273","104","47886","2","32","839"
"166","15","3","500","10","2.35","3","1","2.1","2","301","547","12704","1084","40804","31","160","2228"
"169","15","3","500","10","2.35","3","1","2.1","2","301","501","12569","1063","40348","31","160","1978"
