"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 14:38:42:562 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"114","15","2","250","10","2.25","5","2","2","2","301","25","195","96","1153","1","20","783"
"115","15","2","250","10","2.25","5","2","2","2","301","44","129","82","1047","1","12","816"
"116","15","2","250","10","2.25","5","2","2","2","301","96","248","204","1243","5","31","863"
"105","15","2","250","10","2.25","5","2","2","2","301","2422","98","4338","743","87","476","2766"
"117","15","2","250","10","2.25","5","2","2","2","301","93","132","204","1017","3","30","839"
"119","15","2","250","10","2.25","5","2","2","2","301","0","114","8","975","0","2","783"
"118","15","2","250","10","2.25","5","2","2","2","301","2","139","21","1028","0","12","783"
"121","15","2","250","10","2.25","5","2","2","2","301","0","87","0","989","0","1","783"
"120","15","2","250","10","2.25","5","2","2","2","301","283","167","488","1116","13","61","1018"
"123","15","2","250","10","2.25","5","2","2","2","301","49","153","150","872","4","17","788"
"122","15","2","250","10","2.25","5","2","2","2","301","659","197","1012","1285","24","93","1252"
"126","15","2","250","10","2.25","5","2","2","2","301","41","121","103","1062","3","11","783"
"124","15","2","250","10","2.25","5","2","2","2","301","405","221","655","1505","11","55","1085"
"127","15","2","250","10","2.25","5","2","2","2","301","445","114","767","1052","16","79","1091"
"125","15","2","250","10","2.25","5","2","2","2","301","1231","151","2024","1021","46","203","1676"
"128","15","2","250","10","2.25","5","2","2","2","301","507","187","866","1337","17","84","1190"
"130","15","2","250","10","2.25","5","2","2","2","301","0","237","11","1289","0","11","783"
"129","15","2","250","10","2.25","5","2","2","2","301","101","247","243","1420","7","44","783"
"131","15","2","250","10","2.25","5","2","2","2","301","0","227","2","1037","0","2","783"
"133","15","2","250","10","2.25","5","2","2","2","301","0","228","0","1287","0","0","783"
